Symbol	Name	MarketCap	Sector	Industry
AABA	Altaba Inc.	61033447404	Technology	EDP Services
AAL	"American Airlines Group, Inc."	17831934400	Transportation	Air Freight/Delivery Services
AAME	Atlantic American Corporation	49647968.65	Finance	Life Insurance
AAOI	"Applied Optoelectronics, Inc."	901026178.3	Technology	Semiconductors
AAON	"AAON, Inc."	1848386754	Capital Goods	Industrial Machinery/Components
AAPL	Apple Inc.	9.23898E+11	Technology	Computer Manufacturing
AAWW	Atlas Air Worldwide Holdings	1826390467	Transportation	Transportation Services
AAXJ	iShares MSCI All Country Asia ex Japan Index Fund	4237560000	n/a	n/a
AAXN	"Axon Enterprise, Inc."	3844075716	Capital Goods	Ordnance And Accessories
ABAC	"Renmin Tianli Group, Inc."	26856274.05	Consumer Non-Durables	Farming/Seeds/Milling
ABAX	"ABAXIS, Inc."	1903550583	Capital Goods	Industrial Machinery/Components
ABCB	Ameris Bancorp	2532127417	Finance	Major Banks
ABCD	"Cambium Learning Group, Inc."	567294170.2	Consumer Services	Publishing
ABDC	Alcentra Capital Corp.	89100456.06	n/a	n/a
ABEO	Abeona Therapeutics Inc.	754519295.8	Health Care	Major Pharmaceuticals
ABEOW	Abeona Therapeutics Inc.	0	Health Care	Major Pharmaceuticals
ABIL	Ability Inc.	19271584.2	Consumer Durables	Telecommunications Equipment
ABIO	"ARCA biopharma, Inc."	7627471.335	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD	"ABIOMED, Inc."	18057557044	Health Care	Medical/Dental Instruments
ABTX	"Allegiance Bancshares, Inc."	589654962	Finance	Major Banks
ABUS	Arbutus Biopharma Corporation	507545572.4	Health Care	Major Pharmaceuticals
ACAD	ACADIA Pharmaceuticals Inc.	2226895287	Health Care	Major Pharmaceuticals
ACBI	"Atlantic Capital Bancshares, Inc."	522046241	Finance	Major Banks
ACER	Acer Therapeutics Inc.	178663828.4	Health Care	Major Pharmaceuticals
ACET	Aceto Corporation	111452719.3	Health Care	Other Pharmaceuticals
ACGL	Arch Capital Group Ltd.	11111880396	Finance	Property-Casualty Insurers
ACGLO	Arch Capital Group Ltd.	0	Finance	Property-Casualty Insurers
ACGLP	Arch Capital Group Ltd.	0	Finance	Property-Casualty Insurers
ACHC	"Acadia Healthcare Company, Inc."	3727929553	Health Care	Medical Specialities
ACHN	"Achillion Pharmaceuticals, Inc."	413635816.6	Health Care	Major Pharmaceuticals
ACHV	"Achieve Life Sciences, Inc. "	9896108.08	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA	"Acacia Communications, Inc."	1421293751	Technology	Semiconductors
